city,city_development_index,gender,relevant_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours
160,0.9200000166893005,Female,Yes,Not,Bachelors,STEM,>20,100-500,Private,>4,82.0
16,0.9100000262260437,Male,Yes,Not,Bachelors,Business,12,5000-9999,Private,3,145.0
103,0.9200000166893005,Male,Yes,Not,Bachelors,STEM,10,10-49,UnfundedStartup,2,206.0
114,0.9259999990463257,Male,No,PartTime,HighSchool,None,1,10000+,Other,1,152.0
114,0.9259999990463257,Male,Yes,Not,Phd,STEM,>20,100-500,Private,4,42.0
103,0.9200000166893005,Male,No,Not,Bachelors,STEM,12,1000-4999,Private,4,50.0
71,0.8840000033378601,Male,No,Not,HighSchool,None,3,50-99,Private,never,106.0
114,0.9259999990463257,Female,Yes,FullTime,Masters,STEM,16,1000-4999,Public,2,14.0
104,0.9240000247955322,Male,Yes,Not,HighSchool,None,4,10-49,Private,2,36.0
21,0.6240000128746033,Male,Yes,Not,Masters,STEM,6,50-99,UnfundedStartup,1,112.0
64,0.6660000085830688,Male,No,Not,Bachelors,None,9,50-99,Private,never,108.0
21,0.6240000128746033,Male,Yes,PartTime,Masters,STEM,9,5000-9999,Private,3,7.0
21,0.6240000128746033,Female,No,FullTime,Masters,STEM,5,50-99,Private,never,26.0
21,0.6240000128746033,Male,Yes,Not,Bachelors,STEM,5,100-500,Private,never,87.0
103,0.9200000166893005,Other,Yes,Not,Bachelors,STEM,19,10000+,Public,4,52.0
101,0.5580000281333923,Male,Yes,Not,Bachelors,None,15,100-500,Private,>4,20.0
83,0.9229999780654907,Male,Yes,Not,Bachelors,STEM,11,10-49,Private,1,21.0
101,0.5580000281333923,Male,No,Not,Bachelors,STEM,4,100-500,Private,1,92.0
64,0.6660000085830688,Male,Yes,Not,Bachelors,STEM,10,100-500,Private,2,102.0
105,0.7940000295639038,Male,No,Not,Bachelors,Humanities,5,10000+,Private,>4,26.0
104,0.9240000247955322,Male,Yes,Not,Masters,STEM,3,<10,UnfundedStartup,2,7.0
114,0.9259999990463257,Male,No,FullTime,HighSchool,None,4,10000+,Private,1,43.0
104,0.9240000247955322,Male,Yes,Not,Bachelors,STEM,>20,100-500,Private,1,45.0
73,0.7540000081062317,Male,Yes,FullTime,Bachelors,STEM,2,50-99,UnfundedStartup,2,52.0
103,0.9200000166893005,Male,Yes,Not,Bachelors,STEM,>20,50-99,Private,2,19.0
21,0.6240000128746033,Male,Yes,FullTime,Bachelors,STEM,2,10-49,FundedStartup,1,32.0
162,0.7670000195503235,Male,Yes,Not,Bachelors,Humanities,>20,100-500,Private,>4,26.0
67,0.8550000190734863,Male,Yes,PartTime,Bachelors,STEM,6,100-500,Private,1,90.0
75,0.9390000104904175,Male,Yes,Not,Bachelors,STEM,6,100-500,Private,3,25.0
41,0.8270000219345093,Male,Yes,Not,Masters,STEM,13,<10,Private,1,15.0
100,0.8870000243186951,Male,Yes,Not,Masters,Humanities,>20,100-500,Private,>4,48.0
11,0.550000011920929,Male,No,FullTime,HighSchool,None,3,10-49,Private,never,98.0
93,0.8650000095367432,Male,Yes,Not,Bachelors,STEM,10,50-99,Private,2,142.0
67,0.8550000190734863,Other,No,Not,Masters,Humanities,4,10000+,Private,4,13.0
16,0.9100000262260437,Male,Yes,Not,Bachelors,STEM,15,10000+,Private,>4,47.0
16,0.9100000262260437,Female,Yes,Not,Masters,Humanities,14,500-999,Public,1,28.0
90,0.6980000138282776,Male,No,FullTime,HighSchool,None,2,50-99,Private,never,228.0
64,0.6660000085830688,Male,Yes,Not,Bachelors,STEM,>20,100-500,Private,4,22.0
21,0.6240000128746033,Male,No,FullTime,Bachelors,STEM,<1,100-500,Private,never,18.0
13,0.8270000219345093,Male,Yes,Not,Bachelors,STEM,2,10-49,Private,1,29.0
67,0.8550000190734863,Male,Yes,Not,Masters,STEM,5,100-500,Private,1,46.0
11,0.550000011920929,Male,No,FullTime,Bachelors,STEM,<1,50-99,Private,never,12.0
103,0.9200000166893005,Male,Yes,Not,Bachelors,STEM,5,100-500,Private,2,17.0
36,0.8930000066757202,Male,Yes,Not,Masters,STEM,5,50-99,Private,2,65.0
103,0.9200000166893005,Male,No,Not,Bachelors,Humanities,3,100-500,Private,1,35.0
67,0.8550000190734863,Male,No,FullTime,Bachelors,STEM,9,10000+,Private,3,14.0
103,0.9200000166893005,Female,Yes,Not,Masters,STEM,2,<10,UnfundedStartup,1,4.0
103,0.9200000166893005,Male,Yes,Not,Bachelors,STEM,15,50-99,Private,>4,12.0
160,0.9200000166893005,Male,Yes,Not,Bachelors,STEM,>20,50-99,Private,2,108.0
103,0.9200000166893005,Male,No,Not,Bachelors,STEM,>20,1000-4999,Private,1,136.0
103,0.9200000166893005,Male,Yes,Not,Bachelors,STEM,5,10-49,Private,1,27.0
20,0.7960000038146973,Male,Yes,PartTime,Masters,STEM,4,50-99,FundedStartup,1,74.0
71,0.8840000033378601,Male,Yes,Not,Bachelors,STEM,15,10-49,UnfundedStartup,1,86.0
57,0.8659999966621399,Female,No,PartTime,Bachelors,STEM,<1,10-49,Private,2,83.0
103,0.9200000166893005,Male,No,FullTime,HighSchool,None,4,10000+,Private,3,75.0
152,0.6980000138282776,Male,No,FullTime,Masters,STEM,11,50-99,Public,2,42.0
103,0.9200000166893005,Female,Yes,Not,Bachelors,STEM,6,100-500,Private,1,332.0
61,0.9129999876022339,Male,No,FullTime,Bachelors,STEM,4,500-999,Private,1,140.0
16,0.9100000262260437,Male,No,Not,HighSchool,None,3,10000+,Private,never,182.0
103,0.9200000166893005,Female,No,Not,Bachelors,Humanities,3,100-500,Private,1,13.0
19,0.6819999814033508,Male,Yes,Not,Bachelors,STEM,5,10-49,Private,2,172.0
103,0.9200000166893005,Male,Yes,Not,Bachelors,STEM,10,100-500,NGO,1,48.0
65,0.8019999861717224,Male,Yes,FullTime,Bachelors,STEM,9,50-99,Private,1,33.0
160,0.9200000166893005,Male,No,FullTime,HighSchool,None,2,100-500,Private,1,142.0
74,0.5789999961853027,Male,No,FullTime,Bachelors,STEM,2,100-500,Private,1,34.0
65,0.8019999861717224,Male,Yes,Not,Bachelors,STEM,6,50-99,Private,2,14.0
11,0.550000011920929,Male,Yes,Not,Bachelors,STEM,6,10-49,Private,2,27.0
11,0.550000011920929,Male,Yes,Not,Bachelors,STEM,8,100-500,Private,1,24.0
173,0.878000020980835,Male,No,Not,Masters,STEM,>20,100-500,Private,1,150.0
103,0.9200000166893005,Female,Yes,Not,Bachelors,STEM,11,500-999,NGO,>4,20.0
103,0.9200000166893005,Male,Yes,Not,Bachelors,STEM,5,500-999,Private,1,140.0
16,0.9100000262260437,Male,Yes,Not,Bachelors,STEM,12,5000-9999,Private,1,52.0
75,0.9390000104904175,Male,Yes,Not,Bachelors,STEM,>20,50-99,Private,2,160.0
136,0.8970000147819519,Male,Yes,Not,Masters,STEM,9,5000-9999,Private,2,3.0
21,0.6240000128746033,Male,Yes,Not,Bachelors,STEM,2,<10,Private,2,2.0
16,0.9100000262260437,Male,Yes,Not,Bachelors,STEM,>20,1000-4999,Private,>4,28.0
73,0.7540000081062317,Male,Yes,Not,Bachelors,Other,>20,500-999,Private,4,46.0
67,0.8550000190734863,Male,Yes,Not,Bachelors,STEM,8,50-99,Private,1,210.0
114,0.9259999990463257,Male,Yes,Not,Bachelors,STEM,10,<10,Private,1,36.0
98,0.9490000009536743,Male,No,FullTime,Bachelors,STEM,4,50-99,Private,1,160.0
21,0.6240000128746033,Male,Yes,FullTime,Bachelors,STEM,2,10-49,NGO,2,101.0
114,0.9259999990463257,Male,Yes,Not,Masters,STEM,6,50-99,Private,1,46.0
97,0.925000011920929,Male,Yes,Not,Bachelors,STEM,>20,1000-4999,Private,>4,19.0
21,0.6240000128746033,Male,Yes,Not,Bachelors,STEM,3,100-500,Private,2,26.0
90,0.6980000138282776,Male,Yes,FullTime,Bachelors,STEM,7,<10,NGO,1,90.0
50,0.8960000276565552,Male,Yes,Not,Bachelors,STEM,9,<10,Private,4,59.0
160,0.9200000166893005,Male,Yes,PartTime,Bachelors,Business,10,50-99,FundedStartup,1,260.0
21,0.6240000128746033,Female,Yes,Not,Bachelors,STEM,11,50-99,Private,>4,74.0
16,0.9100000262260437,Male,Yes,Not,Phd,STEM,>20,100-500,Private,2,20.0
173,0.878000020980835,Male,Yes,Not,Bachelors,STEM,12,100-500,Private,2,8.0
103,0.9200000166893005,Male,Yes,Not,Bachelors,STEM,6,100-500,Private,1,131.0
138,0.8360000252723694,Male,Yes,FullTime,Masters,STEM,7,10000+,Private,1,45.0
82,0.6930000185966492,Male,Yes,FullTime,Bachelors,STEM,11,10-49,Private,2,109.0
67,0.8550000190734863,Male,Yes,Not,Bachelors,Humanities,3,100-500,Private,1,70.0
103,0.9200000166893005,Female,Yes,Not,Bachelors,STEM,>20,100-500,NGO,>4,17.0
103,0.9200000166893005,Female,No,Not,Masters,STEM,15,50-99,Private,1,51.0
103,0.9200000166893005,Female,Yes,Not,Bachelors,STEM,6,50-99,Private,3,60.0
36,0.8930000066757202,Male,No,Not,Phd,STEM,>20,1000-4999,Public,>4,4.0
114,0.9259999990463257,Male,No,Not,Bachelors,STEM,12,100-500,Private,>4,7.0
102,0.8040000200271606,Male,Yes,Not,Masters,STEM,>20,100-500,Private,3,164.0
64,0.6660000085830688,Male,Yes,Not,Bachelors,STEM,20,50-99,Private,4,290.0
102,0.8040000200271606,Male,No,Not,HighSchool,None,2,<10,NGO,never,145.0
103,0.9200000166893005,Male,No,Not,Phd,STEM,10,10000+,Private,1,70.0
21,0.6240000128746033,Male,No,Not,Masters,STEM,3,50-99,Private,1,24.0
103,0.9200000166893005,Male,No,Not,Masters,Humanities,3,10000+,Private,1,133.0
11,0.550000011920929,Male,No,FullTime,Bachelors,STEM,2,50-99,Private,1,20.0
103,0.9200000166893005,Male,Yes,Not,Bachelors,STEM,10,<10,FundedStartup,1,76.0
90,0.6980000138282776,Female,No,FullTime,Masters,STEM,5,100-500,Private,4,21.0
21,0.6240000128746033,Female,Yes,Not,Bachelors,Other,8,5000-9999,Private,2,34.0
160,0.9200000166893005,Male,No,Not,Bachelors,STEM,9,<10,Private,2,15.0
57,0.8659999966621399,Male,No,Not,Bachelors,STEM,>20,10000+,Private,>4,156.0
103,0.9200000166893005,Male,Yes,Not,Bachelors,STEM,>20,5000-9999,Private,>4,15.0
114,0.9259999990463257,Male,Yes,Not,Masters,STEM,>20,1000-4999,Private,never,120.0
157,0.7689999938011169,Male,Yes,Not,Bachelors,None,14,10000+,Private,>4,47.0
73,0.7540000081062317,Male,Yes,Not,Bachelors,STEM,12,100-500,Private,2,100.0
67,0.8550000190734863,Male,Yes,PartTime,Bachelors,STEM,6,500-999,Private,never,102.0
103,0.9200000166893005,Male,No,Not,HighSchool,None,4,50-99,Private,never,52.0
114,0.9259999990463257,Male,Yes,Not,HighSchool,None,9,10-49,Private,4,39.0
103,0.9200000166893005,Male,Yes,FullTime,HighSchool,None,4,50-99,Private,1,112.0
103,0.9200000166893005,Male,No,Not,Phd,STEM,>20,50-99,Private,>4,14.0
16,0.9100000262260437,Male,Yes,Not,Bachelors,STEM,11,1000-4999,Private,1,4.0
16,0.9100000262260437,Male,Yes,Not,Masters,Arts,>20,1000-4999,NGO,>4,55.0
21,0.6240000128746033,Male,Yes,Not,Bachelors,STEM,6,10000+,Private,4,49.0
16,0.9100000262260437,Male,Yes,Not,Bachelors,STEM,15,1000-4999,Private,>4,72.0
89,0.925000011920929,Male,Yes,FullTime,Bachelors,STEM,14,5000-9999,Private,3,141.0
114,0.9259999990463257,Male,No,Not,HighSchool,None,6,1000-4999,Private,never,28.0
103,0.9200000166893005,Male,Yes,Not,Bachelors,STEM,13,10000+,Private,1,6.0
103,0.9200000166893005,Male,Yes,Not,Bachelors,None,17,5000-9999,Private,1,125.0
75,0.9390000104904175,Male,Yes,Not,Bachelors,STEM,>20,50-99,Private,never,326.0
103,0.9200000166893005,Male,Yes,Not,Bachelors,Other,>20,100-500,Private,2,33.0
102,0.8040000200271606,Male,No,Not,Masters,STEM,6,10000+,Private,>4,40.0
160,0.9200000166893005,Male,Yes,Not,Bachelors,STEM,18,50-99,Private,1,198.0
103,0.9200000166893005,Female,Yes,Not,Masters,STEM,15,10000+,Private,>4,55.0
150,0.6980000138282776,Male,No,Not,Bachelors,STEM,>20,500-999,Private,>4,32.0
103,0.9200000166893005,Male,Yes,Not,Bachelors,Arts,>20,100-500,Private,>4,11.0
73,0.7540000081062317,Male,Yes,Not,Bachelors,STEM,>20,<10,Private,1,41.0
103,0.9200000166893005,Male,Yes,Not,Masters,STEM,>20,10000+,Public,>4,87.0
67,0.8550000190734863,Male,Yes,Not,Masters,STEM,10,100-500,Private,4,114.0
70,0.6980000138282776,Male,Yes,Not,Bachelors,STEM,>20,10000+,Private,>4,33.0
90,0.6980000138282776,Male,Yes,PartTime,Masters,STEM,5,<10,UnfundedStartup,1,15.0
16,0.9100000262260437,Male,No,FullTime,HighSchool,None,3,<10,Private,1,8.0
173,0.878000020980835,Female,Yes,PartTime,HighSchool,None,2,100-500,NGO,1,22.0
103,0.9200000166893005,Male,Yes,Not,Masters,STEM,>20,5000-9999,Private,4,13.0
98,0.9490000009536743,Male,Yes,Not,Bachelors,STEM,>20,<10,Public,1,246.0
103,0.9200000166893005,Male,Yes,Not,Masters,STEM,9,10-49,Private,1,22.0
103,0.9200000166893005,Male,Yes,Not,Masters,STEM,>20,<10,FundedStartup,1,81.0
175,0.7760000228881836,Male,Yes,FullTime,Bachelors,STEM,4,10-49,FundedStartup,1,11.0
94,0.6980000138282776,Male,No,FullTime,Bachelors,STEM,5,5000-9999,Private,1,24.0
103,0.9200000166893005,Male,Yes,Not,Bachelors,STEM,>20,100-500,FundedStartup,1,50.0
104,0.9240000247955322,Male,No,FullTime,HighSchool,None,6,50-99,Private,never,15.0
28,0.9390000104904175,Male,Yes,Not,Masters,STEM,>20,10-49,Private,>4,31.0
114,0.9259999990463257,Male,Yes,Not,Masters,STEM,>20,50-99,Private,never,84.0
136,0.8970000147819519,Male,Yes,PartTime,Bachelors,STEM,4,10000+,Private,1,42.0
21,0.6240000128746033,Male,Yes,Not,Bachelors,STEM,10,10-49,Private,>4,105.0
103,0.9200000166893005,Female,Yes,Not,Bachelors,STEM,>20,50-99,Private,>4,72.0
115,0.7889999747276306,Male,Yes,Not,Bachelors,STEM,14,10-49,Private,>4,42.0
94,0.6980000138282776,Male,Yes,Not,Bachelors,STEM,15,50-99,UnfundedStartup,1,152.0
103,0.9200000166893005,Male,Yes,Not,Bachelors,STEM,12,10000+,Private,1,60.0
21,0.6240000128746033,Male,No,FullTime,Masters,STEM,2,50-99,Private,never,8.0
16,0.9100000262260437,Male,No,FullTime,Masters,STEM,13,10000+,Private,3,17.0
83,0.9229999780654907,Male,No,Not,HighSchool,None,1,50-99,Private,1,33.0
16,0.9100000262260437,Male,Yes,Not,Masters,STEM,4,100-500,FundedStartup,never,38.0
103,0.9200000166893005,Male,Yes,Not,Bachelors,Humanities,14,<10,UnfundedStartup,2,178.0
160,0.9200000166893005,Male,Yes,Not,Bachelors,STEM,15,50-99,Private,1,11.0
36,0.8930000066757202,Male,Yes,Not,HighSchool,None,>20,50-99,Private,never,87.0
65,0.8019999861717224,Male,Yes,Not,Bachelors,STEM,13,50-99,Private,never,84.0
71,0.8840000033378601,Male,Yes,Not,Bachelors,STEM,>20,100-500,UnfundedStartup,2,32.0
100,0.8870000243186951,Male,Yes,Not,Masters,STEM,9,100-500,Private,1,31.0
21,0.6240000128746033,Male,No,Not,Bachelors,STEM,2,500-999,Public,1,39.0
59,0.7749999761581421,Male,Yes,Not,Bachelors,STEM,7,10-49,Private,1,12.0
21,0.6240000128746033,Male,Yes,FullTime,Bachelors,STEM,5,10000+,Private,1,50.0
165,0.902999997138977,Male,Yes,Not,Bachelors,STEM,3,100-500,Private,1,55.0
11,0.550000011920929,Male,Yes,Not,Bachelors,STEM,5,50-99,Private,1,7.0
103,0.9200000166893005,Male,Yes,Not,Masters,Humanities,2,50-99,UnfundedStartup,1,104.0
160,0.9200000166893005,Male,Yes,FullTime,Bachelors,Business,>20,50-99,Private,>4,90.0
103,0.9200000166893005,Male,Yes,Not,Masters,Other,>20,100-500,Private,>4,8.0
21,0.6240000128746033,Male,No,FullTime,Bachelors,STEM,2,50-99,Private,never,102.0
21,0.6240000128746033,Male,Yes,Not,Masters,STEM,<1,10-49,Private,1,202.0
145,0.5550000071525574,Male,Yes,Not,Bachelors,STEM,4,100-500,Private,1,22.0
21,0.6240000128746033,Male,No,FullTime,Bachelors,STEM,3,100-500,Private,never,42.0
160,0.9200000166893005,Male,No,Not,PrimarySchool,None,4,100-500,Private,never,50.0
21,0.6240000128746033,Male,Yes,Not,Masters,STEM,3,50-99,FundedStartup,1,88.0
73,0.7540000081062317,Male,Yes,Not,Bachelors,STEM,5,1000-4999,Private,4,81.0
103,0.9200000166893005,Male,Yes,Not,Masters,STEM,>20,10000+,Private,1,7.0
21,0.6240000128746033,Male,No,Not,Bachelors,STEM,3,10000+,Private,never,218.0
16,0.9100000262260437,Male,Yes,Not,Bachelors,STEM,>20,10000+,Private,>4,62.0
103,0.9200000166893005,Male,Yes,Not,Bachelors,STEM,6,50-99,Private,1,83.0
28,0.9390000104904175,Male,Yes,Not,Bachelors,STEM,9,1000-4999,Private,>4,11.0
114,0.9259999990463257,Male,No,PartTime,Phd,STEM,>20,50-99,Private,>4,10.0
28,0.9390000104904175,Male,Yes,Not,Masters,STEM,10,1000-4999,Private,1,114.0
21,0.6240000128746033,Male,Yes,Not,Masters,STEM,3,50-99,Private,1,36.0
102,0.8040000200271606,Male,No,Not,Masters,STEM,6,10-49,Private,1,17.0
16,0.9100000262260437,Male,No,FullTime,Bachelors,STEM,2,10000+,Private,never,80.0
160,0.9200000166893005,Male,Yes,PartTime,Bachelors,STEM,>20,50-99,Public,>4,108.0
103,0.9200000166893005,Male,Yes,Not,Bachelors,STEM,2,100-500,Private,2,45.0
103,0.9200000166893005,Male,No,FullTime,Bachelors,STEM,5,100-500,Public,never,77.0
114,0.9259999990463257,Male,Yes,Not,Masters,STEM,15,100-500,Private,2,8.0
173,0.878000020980835,Male,No,Not,Bachelors,STEM,5,10000+,Private,1,28.0
142,0.7269999980926514,Female,Yes,Not,Bachelors,STEM,9,100-500,FundedStartup,>4,37.0
16,0.9100000262260437,Female,No,FullTime,Bachelors,STEM,2,<10,Private,2,108.0
103,0.9200000166893005,Male,Yes,Not,Bachelors,STEM,13,500-999,Private,2,162.0
73,0.7540000081062317,Male,Yes,FullTime,HighSchool,None,9,50-99,Private,>4,41.0
165,0.902999997138977,Male,Yes,Not,Masters,STEM,19,100-500,Private,4,4.0
71,0.8840000033378601,Female,No,Not,Phd,STEM,3,1000-4999,Public,1,41.0
165,0.902999997138977,Male,Yes,Not,Bachelors,STEM,17,10000+,Private,2,12.0
103,0.9200000166893005,Male,Yes,Not,Bachelors,STEM,>20,50-99,Private,1,190.0
21,0.6240000128746033,Male,Yes,Not,Bachelors,STEM,7,50-99,Private,>4,29.0
103,0.9200000166893005,Male,Yes,Not,Bachelors,STEM,6,100-500,Public,1,11.0
103,0.9200000166893005,Male,No,FullTime,HighSchool,None,3,10000+,Private,1,30.0
103,0.9200000166893005,Male,Yes,Not,Masters,STEM,13,100-500,Public,>4,39.0
102,0.8040000200271606,Male,Yes,FullTime,HighSchool,None,9,100-500,Private,1,16.0
114,0.9259999990463257,Male,No,Not,Bachelors,STEM,>20,50-99,Private,>4,5.0
26,0.6980000138282776,Male,No,FullTime,HighSchool,None,8,50-99,Private,never,39.0
114,0.9259999990463257,Male,Yes,Not,Masters,STEM,10,50-99,Private,>4,29.0
21,0.6240000128746033,Male,Yes,FullTime,Masters,STEM,4,50-99,NGO,2,210.0
103,0.9200000166893005,Other,No,PartTime,HighSchool,None,6,50-99,FundedStartup,1,54.0
160,0.9200000166893005,Male,Yes,Not,Bachelors,STEM,9,50-99,Private,3,44.0
16,0.9100000262260437,Male,Yes,Not,Bachelors,STEM,15,10000+,Private,>4,47.0
103,0.9200000166893005,Male,Yes,Not,Bachelors,STEM,>20,1000-4999,NGO,>4,74.0
21,0.6240000128746033,Male,Yes,Not,Masters,STEM,6,10-49,Private,1,8.0
21,0.6240000128746033,Male,No,FullTime,Bachelors,STEM,7,100-500,Private,never,20.0
103,0.9200000166893005,Male,Yes,Not,Bachelors,STEM,3,500-999,Private,1,162.0
36,0.8930000066757202,Male,No,Not,Bachelors,Business,2,50-99,Private,1,110.0
46,0.7620000243186951,Other,Yes,PartTime,HighSchool,None,3,10-49,Private,1,262.0
138,0.8360000252723694,Male,Yes,Not,Masters,STEM,14,100-500,Private,1,6.0
64,0.6660000085830688,Male,Yes,PartTime,Bachelors,STEM,9,10-49,Private,1,19.0
64,0.6660000085830688,Other,No,Not,Bachelors,STEM,>20,50-99,Private,>4,23.0
21,0.6240000128746033,Male,No,Not,Bachelors,STEM,<1,<10,Private,1,107.0
136,0.8970000147819519,Male,Yes,Not,Masters,STEM,15,10000+,Private,>4,134.0
114,0.9259999990463257,Male,Yes,Not,Masters,STEM,11,10-49,UnfundedStartup,1,40.0
71,0.8840000033378601,Male,Yes,Not,Bachelors,STEM,12,50-99,Private,1,11.0
160,0.9200000166893005,Male,Yes,Not,Bachelors,STEM,11,100-500,Private,3,102.0
21,0.6240000128746033,Male,No,FullTime,Bachelors,STEM,2,50-99,Private,never,100.0
83,0.9229999780654907,Male,No,Not,Masters,STEM,3,10000+,Private,never,30.0
103,0.9200000166893005,Male,No,Not,HighSchool,None,5,50-99,Private,1,20.0
103,0.9200000166893005,Male,Yes,Not,Bachelors,STEM,14,1000-4999,Private,3,4.0
16,0.9100000262260437,Male,No,Not,PrimarySchool,None,5,10000+,Private,never,15.0
21,0.6240000128746033,Male,No,Not,Bachelors,STEM,<1,10000+,Private,1,14.0
83,0.9229999780654907,Male,No,Not,PrimarySchool,None,1,50-99,Private,never,103.0
160,0.9200000166893005,Male,Yes,PartTime,Bachelors,STEM,5,1000-4999,Public,2,40.0
16,0.9100000262260437,Male,Yes,Not,Phd,STEM,>20,100-500,Private,2,27.0
114,0.9259999990463257,Male,No,Not,HighSchool,None,10,100-500,Private,>4,46.0
114,0.9259999990463257,Male,Yes,Not,HighSchool,None,7,50-99,Private,>4,110.0
103,0.9200000166893005,Male,Yes,Not,Bachelors,STEM,13,50-99,FundedStartup,1,96.0
103,0.9200000166893005,Male,Yes,Not,Bachelors,STEM,5,10000+,Private,2,57.0
160,0.9200000166893005,Male,Yes,FullTime,Bachelors,STEM,6,5000-9999,Private,1,240.0
98,0.9490000009536743,Male,Yes,Not,Bachelors,STEM,4,50-99,FundedStartup,4,42.0
75,0.9390000104904175,Male,Yes,Not,Masters,STEM,7,100-500,Private,1,16.0
12,0.6399999856948853,Male,Yes,Not,Bachelors,STEM,>20,50-99,Private,never,40.0
103,0.9200000166893005,Male,Yes,Not,Bachelors,STEM,5,100-500,FundedStartup,2,94.0
37,0.7940000295639038,Male,No,Not,Bachelors,STEM,9,5000-9999,Private,1,160.0
173,0.878000020980835,Male,No,PartTime,Bachelors,STEM,10,10-49,UnfundedStartup,1,25.0
43,0.515999972820282,Male,Yes,Not,Bachelors,STEM,9,<10,UnfundedStartup,1,11.0
173,0.878000020980835,Male,Yes,Not,HighSchool,None,<1,100-500,Private,1,29.0
90,0.6980000138282776,Male,Yes,Not,Bachelors,STEM,8,50-99,Private,1,23.0
142,0.7269999980926514,Male,Yes,Not,Bachelors,STEM,10,10-49,Private,2,113.0
73,0.7540000081062317,Male,Yes,Not,Bachelors,STEM,15,10000+,Private,2,56.0
104,0.9240000247955322,Male,No,FullTime,Bachelors,STEM,2,50-99,Private,1,39.0
103,0.9200000166893005,Male,No,Not,Bachelors,STEM,2,1000-4999,Private,1,20.0
160,0.9200000166893005,Male,Yes,FullTime,Bachelors,STEM,>20,10000+,Private,1,40.0
103,0.9200000166893005,Male,Yes,Not,Masters,STEM,>20,<10,Private,>4,56.0
145,0.5550000071525574,Male,No,FullTime,Bachelors,STEM,4,10-49,Private,1,106.0
114,0.9259999990463257,Male,Yes,PartTime,Bachelors,STEM,19,500-999,Private,2,64.0
73,0.7540000081062317,Male,Yes,Not,Bachelors,STEM,5,10000+,Private,1,51.0
67,0.8550000190734863,Female,Yes,FullTime,Bachelors,STEM,6,1000-4999,Private,2,41.0
103,0.9200000166893005,Male,Yes,Not,Bachelors,STEM,20,100-500,Private,>4,150.0
74,0.5789999961853027,Male,Yes,Not,Bachelors,STEM,4,10-49,Private,1,320.0
